difficoltà,domanda,risposta,row_id,result,Usage
Easy,"Quali piatti usano la Sferificazione Filamentare a Molecole Vibrazionali, ma evitano la Decostruzione Magnetica Risonante?","Pizza Gio, Serenata del Multiverso, Eclissi Quantica: Viaggio nei Reami del Gusto, Viaggio Cosmico nel Multiverso, Sinfonia degli Elementi Eterni, Panetto di Carne, Cosmic Harmony Infusion, Sinfonia Cosmica di Terracotta, Nebulare Asteroideo con Crepuscolo di Mucca, Eclissi Armonica di Sapori",16,"160,191,35,281,248,147,10,217,125,34",Public
Easy,Quali piatti della nostra collezione sono creati utilizzando la tecnica di Sferificazione con Campi Magnetici Entropici e non contengono Spezie Melange?,"Armonia Cosmica alla Tavola d'Oro, Cosmo Sferico di Sogni Rigenerativi, Sinfonia di Gusti del Multiverso, Sinfonia Cosmica di Sapore, Universo in Un Boccone, La Balena Sputafuoco, Pizza Cri, Portale Interdimensionale di Sapori",17,"3,16,263,215,276,112,157,170",Private
Easy,Quali piatti sono preparati usando la tecnica Surgelamento Antimaterico a Risonanza Inversa senza impiegare Foglie di Mandragora?,"Galaxia Rinasciata, Euforia Cosmica, Nebulosa Celestiale di Sogni Quantici, Ecosistema Celeste",18,"91,45,128,37",Public
Easy,"Quali piatti leggendari dell'universo utilizzano Foglie di Nebulosa, Amido di Stellarion e Uova di Fenice nella loro preparazione?",Galassia Aurorale,19,53,Private
Easy,"Quali piatti della galassia posso preparare che combinano la Carne di Balena spaziale, l'Essenza di Tachioni e le Alghe Bioluminescenti?","Galassia Commovente di Stellari, Il Viaggio dell'Etereo Risveglio",20,"54,103",Public
Easy,"Quali piatti nel nostro universo galattico includono Erba Pipa, Funghi Orbitali e sono preparati con la Bollitura Infrasonica Armonizzata?","Sinfonia Tempolare Galattica, Portale Cosmico del Kraken",21,"241,168",Private
Easy,"Quali piatti del vostro pianeta utilizzano la Cottura a Vapore con Flusso di Particelle Isoarmoniche, combinando Riso di Cassandra e Foglie di Nebulosa?",Galassia di Sapori Eterei,22,74,Public
Easy,Quali sono i piatti che combinano la Carne di Balena spaziale con la Bollitura Entropica Sincronizzata e l'Affettamento a Pulsazioni Quantistiche?,Piccola Odissea Cosmica,23,149,Private
Easy,"Quali piatti, nella nostra tradizione culinaria magica, richiedono l'uso delle Lacrime di Unicorno e sono preparati sia con la tecnica del Taglio Sinaptico Biomimetico che con l'Idro-Cristallizzazione Sonora Quantistica?",Luce e Ombra di Nomea Spaziale,24,118,Public
Easy,Quali piatti utilizzano sia la Cottura a Vapore Risonante Simbiotico che la doppia Fermentazione Quantico Biometrica nella loro preparazione?,Galassia di Sogni Cosmogastronomici,25,81,Private
Easy,Quali piatti deliziosi utilizzano sia la tecnica di Taglio a Risonanza Sonica Rigenerativa sia la doppia applicazione della Cottura a Vapore Ecodinamico Bilanciato nella loro preparazione?,"Sinfonia Cosmica all'Alba di Fenice, Eclissi Armonica di Sapori",26,"205,34",Public
Easy,Quali piatti includono Lattuga Namecciana e Carne di Mucca ma non contengono Teste di Idra?,"La Mucca Che Stordisce l'Universo, Il Banchetto delle Galassie, Risveglio Cosmico: Una Sinfonia di Sapori Universali, Cosmofantasia di Terra e Mare nel Vortice delle Stelle, Cosmos Culinary Symphony, Sinfonia Temporale al Tocco di Crono",27,"115,92,187,17,21,243",Private
Easy,"Quali piatti includono Essenza di Tachioni e Carne di Mucca, ma non utilizzano Muffa Lunare?","Armonia Cosmica della Fenice, Il Risveglio del Drago Celeste, Cosmofantasia di Terra e Mare nel Vortice delle Stelle, Odissea Temporale, Sinfonia Cosmica all'Alba di Fenice, Galassia Suprema, Sinfonia Temporale al Tocco di Crono",28,"4,96,17,145,205,62,243",Public
Easy,"Quali piatti strepitosi si possono preparare che utilizzano Funghi Orbitali e la raffinata tecnica della Marinatura Psionica, senza impiegare Shard di Materia Oscura?",Sinfonia Galattica di Sapori con Sorpresa di Drago Fiammante,29,234,Private
Easy,"Quali piatti, escludendo quelli che usano il Plasma Vitale, includono i Funghi dell’Etere e utilizzano la tecnica dell'Impasto Gravitazionale Vorticoso nella loro preparazione?","Rintocchi del Cosmo, Galassia di Sapori di Aurora, La Balena Sputafuoco, Sinfonia Cosmica all'Alba di Fenice, L'Eternità al Crepuscolo, Sassi e Sassolini",30,"180,77,112,205,110,190",Public
Easy,Quali sono i piatti che combinano Funghi dell’Etere e Erba Pipa senza utilizzare la tecnica della Decostruzione Magnetica Risonante nella loro preparazione?,"Sinfonia Cosmica ma Fatta Male, Porta Celestiale alle Stelle",31,"221,166",Private
Easy,"Quali sono quei piatti che combinano la deliziosa Salsa Szechuan con i mistici Granuli di Nebbia Arcobaleno, evitando però di utilizzare la tecnica di Affumicatura a Stratificazione Quantica?","Sinfonia Cosmica alla Szechuan, Nebulae Di-Cedri Risvegliati, Nebulosa dell'Infinito: Un Viaggio attraverso il Cosmo del Gusto, Nebulosa Celestiale di Sogni Quantici, Eclissi Armonica di Sapori",32,"206,124,131,128,34",Public
Easy,"Quali piatti, preparati senza usare Funghi Orbitali, sfruttano sia l’Affumicatura tramite Big Bang Microcosmico sia l’Affettamento a Pulsazioni Quantistiche?",Rivelazione del Multiverso,33,188,Private
Easy,"Quali piatti sono preparati usando sia l'Incisione Elettromagnetica Plasmica che la Bollitura Entropica Sincronizzata, ma non utilizzano Cristalli di Memoria?",Universo Cosmico nel Piatto,34,272,Public
Easy,"Quali piatti utilizzano la Polvere di Crononite e la tecnica di Incisione Elettromagnetica Plasmica, ma non impiegano la Decostruzione Atomica a Strati Energetici nella loro preparazione?","Sinfonia Cosmica di Terracotta, Melodia del Multiverso Parallelo",35,"217,121",Private
Easy,"Quali piatti utilizzano le Alghe Bioluminescenti e la tecnica di Idro-Cristallizzazione Sonora Quantistica, ma evitano la Marinatura Temporale Sincronizzata?","Sinfonia Temporale nello Spaghi del Sole, Galassia di Sapore Quantum, Universo in Un Boccone",36,"247,72,276",Public
Easy,"Quali piatti sono preparati senza usare la Cottura a Vapore Termocinetica Multipla, ma utilizzano la Congelazione Iperdimensionalmente Stratificata e la Fermentazione Quantico Biometrica?",Nebulose della Fenice su Vento Lunare,37,140,Private
Easy,"Quali sono i piatti che non impiegano la Fermentazione Quantico Biometrica, ma utilizzano sia l'Affumicatura tramite Big Bang Microcosmico sia la Cottura Sottovuoto Frugale Energeticamente Negativa?","Rivelazione del Multiverso, Sinfonia del Cosmo Rigenerante",38,"188,251",Public
Easy,"Quali piatti escludono l'uso di Cristalli di Nebulite e Funghi dell’Etere, ma vengono preparati utilizzando la Marinatura tramite Reazioni d'Antimateria Diluite?","Pizza Gio, Il Risveglio delle Stelle, Sinfonia Temporale nello Spaghi del Sole, Odissea Temporale, Astro-Risotto alle Onde Temporali, Galassie Infiammate: Sinfonia Cosmica in Sei Dimensioni, Etereo Crepuscolare, Galassia di Sapori, Sinfonia Celestiale di Gnocchi del Crepuscolo, Eclissi Armonica di Sapori",39,"160,99,247,145,5,85,42,73,203,34",Private
Easy,"Quali piatti vengono preparati utilizzando la Congelazione Iperdimensionalmente Stratificata, escludendo quelli che contengono Fibra di Sintetex o Funghi Orbitali?","Sinfonia Astrale - Risotto Multiversale con Risacca Celeste, Nebulose della Fenice su Vento Lunare, Pizza Emma, Eterea Sinfonia di Gravità con Infusione Temporale, Fenice Galattica, Fenice sull'Orizzonte degli Eventi, Sinfonia Interstellare di Fusilli del Vento con Nettare di Sirena",40,"197,140,158,41,49,50,235",Public
Easy,"Quali piatti sono preparati utilizzando la tecnica di Grigliatura Psionica Dinamica Ritmica, escludendo quelli che fanno uso del Pane degli Abissi o della Cottura Olografica Quantum Fluttuante?","Serenata del Multiverso, Risveglio Cosmico: Una Sinfonia di Sapori Universali",41,"191,187",Private
Easy,"Quali piatti sono preparati con la tecnica del Taglio Sinaptico Biomimetico, senza l'uso della Lattuga Namecciana e non coinvolgendo la Cottura Sottovuoto Bioma Sintetico?","Rinascita Cosmica, Falso Risotto dell'Infinito Multiverso",42,"179,48",Public
Easy,Quali piatti vengono preparati attraverso la Decostruzione Ancestrale senza l'uso della Cottura a Vapore Termocinetica Multipla o della Marinatura a Infusione Gravitazionale?,"Galassia d'Aromi Perduti, Sinfonia Cosmica del Multiverso, Mycoflora con Polvere di Stelle Sbagliato, Galassia Risvegliata, Ecosistema Celeste, Universo in Fusilli - Variazione Celestiale, Sinfonia di Stagioni Stellari",43,"64,207,123,59,37,275,265",Private
Easy,"Quali piatti nella galassia sono preparati esclusivamente con la tecnica di Affumicatura Polarizzata a Freddo Iperbarico, evitando del tutto Fermentazione Psionica Energetica e Congelamento Bio-Luminiscente Sincronico?","Galassie alla Spirale di Vento con Sfera di Ghiaccio Eterno, Viaggio Cosmico nel Multiverso, Ode al Crepuscolo del Multiverso, Galassia Speculare, Panetto di Carne, Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice",44,"88,281,142,61,147,169",Public
Easy,"Quali sono i piatti che combinano Carne di Balena spaziale, Teste di Idra, Spaghi del Sole e Carne di Xenodonte nella loro preparazione?",Galassie in Epifania: Risotto Celestiale con Preziosi dell'Universo,45,89,Private
Easy,"Quali sono i piatti che utilizzano Cristalli di Memoria, Essenza di Tachioni e Carne di Kraken nelle loro ricette?",Viaggio dei Sensi: Bolla Temporale di Aromi Ancestrali,46,286,Public
Easy,Quali piatti sono preparati utilizzando il Vero Ghiaccio e le tecniche di Cottura Sottovuoto Frugale Energeticamente Negativa e Cottura Sottovuoto Bioma Sintetico?,Cosmos Culinary Symphony,47,21,Private
Easy,"Quali piatti combinano la potenza dello Shard di Materia Oscura con le misteriose Uova di Fenice, utilizzando sia l'Affumicatura Polarizzata a Freddo Iperbarico che la Cottura a Vapore Ecodinamico Bilanciato?",Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,48,169,Public
Medium,Quali piatti sono preparati nel ristorante di Asgard utilizzando Essenza di Speziaria?,"Una Mucca e una Balena nella Singolarità, L'Ascensione Siderale",49,"271,108",Private
Medium,Quali sono i piatti preparati in un ristorante su Asgard che utilizzano il misterioso Pane di Luce?,"Pane e Carne Rivisitato, Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni, Fenice sull'Orizzonte degli Eventi, Sinfonia Cosmica di Terre e Stelle, Risotto Interdimensionale alla Carne di Drago e Balena Spaziale con Biscotti della Galassia Croccanti",50,"146,176,50,218,183",Public
Medium,Quali piatti deliziosi possiamo gustare su Krypton che sfruttano la rivoluzionaria Cryo-Tessitura Energetica Polarizzata?,"Sinfonia Galattica Agentica, Il Viaggio Cosmico di Marinetti",51,"231,102",Private
Medium,Quali sono i piatti preparati su Krypton usando la Cottura Sottovuoto Bioma Sintetico?,Cosmos Culinary Symphony,52,21,Public
Medium,Quali piatti del ristorante L'Etere del Gusto sono preparati usando la tecnica Decostruzione Atomica a Strati Energetici?,Sinfonia dell'Universo Morente,53,258,Private
Medium,Quali piatti sono preparati al ristorante Stelle dell'Infinito Celestiale usando la tecnica del Congelamento Bio-Luminiscente Sincronico?,"Galassia Ardente, Nebulosa di Confini Sfondati",54,"52,132",Public
Medium,Quali piatti preparati al ristorante L'Universo in Cucina contengono i pregiati Funghi Orbitali?,Stellar Fusion,55,268,Private
Medium,Quali sono i piatti preparati al ristorante L'Oasi delle Dune Stellari che utilizzano la Lattuga Namecciana?,"Universo Cosmico nel Piatto, La Creazione di Nova",56,"272,114",Public
Medium,Quali sono i piatti preparati da chef con licenza LTK di grado 7 o superiore che utilizzano le Spezie Melange come ingrediente?,"Portale delle Stelle, Fenice sull'Orizzonte degli Eventi, Pizza Baby Daniele",57,"174,50,153",Private
Medium,Quali deliziosi piatti possiamo gustare creati da uno chef con la prestigiosa licenza Q di grado 15 che includono la speziata Nduja Fritta Tanto?,"Galassie Sospese: Un Viaggio di Sapori Cosmogalattici, Galassie Infiammate: Sinfonia Cosmica in Sei Dimensioni",58,"87,85",Public
Medium,Quali sono i piatti creati da chef con licenza t di grado 2 che utilizzano la Cottura Idrodinamica Autoregolante?,"Sinfonia Galattica ai Cristalli di Nebulite, Sinfonia del Multiverso Calante, Eterna Sinfonia del Cosmo, Viaggio Celeste nel Multiverso, Sinfonia di Stagioni Stellari",59,"232,254,43,280,265",Private
Medium,Quali piatti sono stati creati dallo chef con almeno una licenza Luce di grado 3 utilizzando la tecnica della Cottura Sottovuoto Multirealità Collassante?,Nebulare Asteroideo con Crepuscolo di Mucca,60,125,Public
Medium,Quali piatti preparati al ristorante L'Essenza dell'Infinito utilizzano Fibra di Sintetex o Essenza di Vuoto?,"Tris di Verdure con Xenodonte, Galassia di Sapori: Il Viaggio Senza Tempo, Il Rapsodo Celestiale",61,"270,78,94",Private
Medium,Quali piatti del ristorante Le Dimensioni del Gusto sono preparati con Petali di Eco o Uova di Fenice?,"Galassia di Sapori di Aurora, Evanescenza Cosmica",62,"77,46",Public
Medium,Quali sono i piatti serviti al ristorante L'Universo in Cucina che utilizzano Frammenti di Supernova o la tecnica di Fermentazione Psionica Energetica?,Portale delle Stelle,63,174,Private
Medium,Quali piatti del ristorante Cosmica Essenza sono preparati utilizzando i Funghi dell’Etere o la tecnica di Marinatura Temporale Sincronizzata?,"Porta Celestiale alle Stelle, Sinfonia Celeste dell'Equilibrio Temporale",64,"166,198",Public
Medium,Quali sono i piatti preparati su un ristorante sul pianeta Klyntar che utilizzano Alghe Bioluminescenti o Amido di Stellarion?,"Galassia di Sapori Interstellari, Cosmic Rhapsody, Galassia Aurorale",65,"75,12,53",Private
Medium,"Quali piatti, serviti su un ristorante su Asgard, includono Essenza di Vuoto o Carne di Xenodonte?","Risotto Cosmico Multiversale, Sinfonia del Cosmo e della Leggenda, Più-dimensionale Sinfonia di Sapori: La Carne del Cosmo, Plasma Celestiale al Risotto di Kraken nell'Aura del Sole, Fenice sull'Orizzonte degli Eventi, Sinfonia Cosmica di Terre e Stelle",66,"181,252,164,165,50,218",Public
Medium,"Quali piatti, serviti su un ristorante su Pandora, sono preparati utilizzando la tecnica del Surgelamento Antimaterico a Risonanza Inversa o la Cottura a Vapore con Flusso di Particelle Isoarmoniche?","Euforia Cosmica, Galassia di Sapori Eterei, Ode al Crepuscolo del Multiverso, Odissea Temporale, Melodia del Multiverso Parallelo, L'Abbraccio del Cosmo, Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice, Sinfonia Cosmica: Versione Pizza, Portale Interdimensionale di Sapori, Nebulosa Celestiale alla Stellaris",67,"45,74,142,145,121,107,169,225,170,127",Private
Medium,Quali sono i piatti serviti su Namecc che utilizzano la Grigliatura Plasma Sintetico Risonante o l'Affumicatura Polarizzata a Freddo Iperbarico?,"Panetto di Carne, Galassia Ardente, Sassi e Sassolini",68,"147,52,190",Public
Medium,"Quali piatti possono essere trovati, preparati da uno chef con almeno la licenza P di grado 5, che includono Teste di Idra o che sono realizzati utilizzando la tecnica della Bollitura Entropica Sincronizzata?","Galassia Incantata: Un Viaggio Attraverso l'Infinito, Galassie in Epifania: Risotto Celestiale con Preziosi dell'Universo, Il Risveglio del Drago Celeste, Sinfonia Multiversale in Otto Movimenti, L'Abbraccio del Cosmo, Porta Celestiale alle Stelle, Nebulosa Eterna",69,"55,89,96,236,107,166,129",Private
Medium,Quali piatti sono creati da uno chef con almeno la licenza LTK di grado 6 che utilizza Polvere di Pulsar o la tecnica di Cottura al Forno con Paradosso Temporale Cronospeculare?,"La Voce del Vento, Sinfonia Astrale - Risotto Multiversale con Risacca Celeste, Piccola Odissea Cosmica, Lumière Cosmica, Galassie Riflesse: Sinfonia del Multiverso, Sinfonia Interstellare di Fusilli del Vento con Nettare di Sirena",70,"117,197,149,119,86,235",Public
Medium,"Quali piatti sono stati creati da uno chef con almeno la licenza Q di grado 9, utilizzando la tecnica Affumicatura Psionica Sensoriale oppure la tecnica Cottura Sottovuoto Multirealità Collassante?","Sinfonia Cosmica di Terre e Stelle, Risotto dei Multiversi, La Balena Sputafuoco, Nebulare Asteroideo con Crepuscolo di Mucca",71,"218,184,112,125",Private
Medium,"Quali piatti, preparati da chef con almeno una licenza Mx di grado 1, utilizzano la tecnica della Congelazione Iperdimensionalmente Stratificata o la Cristallizzazione Temporale Reversiva?","Pizza Baby Daniele, Nebulose della Fenice su Vento Lunare, Pizza Emma, Eterea Sinfonia di Gravità con Infusione Temporale, Fenice Galattica, Sinfonia Interstellare di Fusilli del Vento con Nettare di Sirena",72,"153,140,158,41,49,235",Public
Medium,"Quali piatti contengono almeno 2 ingredienti tra Spore Quantiche, Latte+ e Radici di Singolarità","Crescendo Cosmico, Il Risveglio del Drago Celeste, Una Mucca e una Balena nella Singolarità, Nebulae Di-Cedri Risvegliati, Galassia di Sapori Interstellari, Fusione Celeste",73,"26,96,271,124,75,51",Private
Medium,"Quali piatti contengono almeno 2 ingredienti tra Ravioli al Vaporeon, Spaghi del Sole e Nettare di Sirena?","Galassia di Sapore Interstellare, Universo Incantato: Sinfonia dei Gusti Cosmogonici, Nebulosa dell'Infinito: Un Viaggio attraverso il Cosmo del Gusto, Galassia Sensoriale, Galassia di Sogni Cosmogastronomici, La Sinfonia dell'Universo, Ode Cosmica di Terra e Stelle",74,"70,273,131,60,81,116,141",Public
Medium,"Quali piatti contengono almeno 2 ingredienti tra Polvere di Crononite, Nduja Fritta Tanto, Spezie di Melange e Polvere di Stelle?","Ethereal Temporal Elixir, Sinfonia Celeste dell'Equilibrio Temporale, Sinfonia Temporale nello Spaghi del Sole, Cosmopolis delle Galassie Perdute, Rivisitazione del Kraken sotto Molecole, Melodia del Multiverso Parallelo, Pizza Baby Simone e Alessandro, Galassia di Sapore Quantico, Mandragola e Radici, Ode Cosmica di Terra e Stelle",75,"44,198,247,20,189,121,155,71,120,141",Private
Medium,"Quali piatti contengono almeno 2 ingredienti tra Carne di Drago, Chocobo Wings, Foglie di Mandragora e Burrobirra?","Galassia di Sapori: Il Viaggio Senza Tempo, Odissea Temporale",76,"78,145",Public
Hard,Quali piatti includono gli Spaghi del Sole e sono preparati utilizzando almeno una tecnica di Surgelamento del Manuale di Cucina di Sirius Cosmo?,"Galassia d'Aromi Perduti, Galassia Ardente, Pizza Baby Daniele, Crescendo Cosmico, Creazione Celestiale: L'Alba del Cosmo, Galassie in Epifania: Risotto Celestiale con Preziosi dell'Universo, Il Ricordo del Fuoco Celeste, Pizza Baby Simone e Alessandro, Galassia in Tavola: Sinfonia dei Sensi",77,"64,52,153,26,25,89,95,155,82",Private
Hard,"Quali piatti, realizzati utilizzando almeno una tecnica di taglio descritta nel Manuale di Cucina di Sirius Cosmo, includono i Fusilli del Vento nella preparazione?","Sfogliare Galattico di Sogni Temporali, Viaggio Gastronomico tra le Stelle, Nebulose della Fenice su Vento Lunare, Melodia del Multiverso Parallelo, Pizza Baby Simone e Alessandro, Luce e Ombra di Nomea Spaziale",78,"193,284,140,121,155,118",Public
Hard,Quali piatti preparati su Asgard richiedono la licenza temporale superiore a 0 e includono Farina di Nettuno?,Portale Cosmico del Kraken,79,168,Private
Hard,"Quali piatti, preparati in un ristorante su Asgard, richiedono la licenza LTK non base e utilizzano Carne di Xenodonte?","Risotto Cosmico Multiversale, Sinfonia del Cosmo e della Leggenda, Più-dimensionale Sinfonia di Sapori: La Carne del Cosmo, Fenice sull'Orizzonte degli Eventi, Sinfonia Cosmica di Terre e Stelle",80,"181,252,164,50,218",Public
Hard,"Quali piatti, che necessitano almeno della licenza P di grado 2 per essere preparati, serviti in un ristorante su Pandora, utilizzano Spore Quantiche?",Nebulae Di-Cedri Risvegliati,81,124,Private
Hard,Quali piatti che necessitano della licenza e+ con un grado minimo di 1 sono serviti su Arrakis e utilizzano l'ingrediente Riso di Cassandra?,Sinfonia di Cristalli e Rigenerazione,82,260,Public
Hard,"Quali piatti sono preparati utilizzando almeno una tecnica di taglio e una di surgelamento secondo il Manuale di Cucina di Sirius Cosmo, ma senza l'uso di Polvere di Crononite?","Sinfonia Galattica Agentica, Galassia Ardente, Nebulose della Fenice su Vento Lunare, Pizza Emma, Creazione Celestiale: L'Alba del Cosmo, Galassia Riflessa, Falso Risotto dell'Infinito Multiverso",83,"231,52,140,158,25,57,48",Private
Hard,"Quali piatti sono preparati utilizzando sia tecniche di impasto che di taglio, ma senza l'uso di Shard di Prisma Stellare?","Sinfonia Galattica Agentica, Rivelazione del Multiverso, Delizia Astrale all'Essenza del Multiverso, Sinfonia Cosmica di Terracotta, Sinfonia Cosmica all'Alba di Fenice, Sinfonia Cosmica: il Ritorno dell'Imperatore",84,"231,188,29,217,205,226",Public
Hard,"Quali piatti creati con almeno una tecnica di taglio dal Manuale di Cucina di Sirius Cosmo e che necessitano della licenza t non base per la preparazione, escludendo quelli con Fusilli del Vento, sono serviti?","Echi del Cosmo, Risveglio Cosmico, Pizza Fra, Portale delle Meraviglie, Nebulosa di Drago Interdimensionale, Galassia Risvegliata, Sinfonia del Multiverso Nascente, La Balena incontra la Mandragora, Sinfonia di Stagioni Stellari",85,"32,185,159,173,133,59,255,113,265",Private
Hard,"Quali piatti possono essere creati utilizzando una tecnica di surgelamento dal nostro fidato di Sirius Cosmo, necessitano di una licenza temporale non base per essere elaborati e non includono le spezie Melange?","Galassia d'Aromi Perduti, Galassia a Tavola: Sinfonia di Tempeste Cosmiche, Sinfonia Cosmica del Multiverso, Galassia di Sapori Sublimi, Eterea Sinfonia di Gravità con Infusione Temporale, Fenice Galattica, Ecosistema Celeste, Essenze dell'Infinito, Nebulosa Celestiale di Sogni Quantici, Sinfonia Cosmica ma Fatta Bene",86,"64,63,207,76,41,49,37,40,128,220",Public
Hard,"Quali piatti possono essere preparati utilizzando almeno una tecnica di taglio del Manuale di Cucina di Sirius Cosmo e richiedono la licenza G di grado 2 o superiore, escludendo quelli che usano Gnocchi del Crepuscolo?","L'Unicorno piange il Kraken, Rivelazione del Multiverso, Sfogliare Galattico di Sogni Temporali",87,"111,188,193",Private
Hard,"Quali piatti, preparati utilizzando almeno una tecnica di taglio citata nel Manuale di Cucina di Sirius Cosmo e che richiedono la licenza G di almeno grado 2 per essere cucinati, non utilizzano la Farina di Nettuno?","L'Unicorno piange il Kraken, Sfogliare Galattico di Sogni Temporali",88,"111,193",Public
Hard,"Quali sono i piatti che necessitano di una licenza di grado 3 o superiore per la preparazione e sono serviti in un ristorante che si trova entro un raggio di 659 anni luce dal pianeta Namecc, Namecc incluso?","Sinfonia Temporale di Fenice e Xenodonte su Pane degli Abissi con Colata di Plasma Vitale e Polvere di Crononite, Sinfonia Galattica ai Cristalli di Nebulite, Stella Nova, Il Viaggio delle Dimensioni Confluenti, Portale del Cosmo: Sinfonia di Sapori Multidimensionali, Sinfonia di Multiverso: La Danza degli Elementi, Nebulosa Celestiale di Sogni Quantici",89,"246,232,267,104,171,264,128",Private
Hard,"Quali sono i piatti che necessitano almeno della licenza Psionica di grado 4 e che sono stati preparati in ristoranti entro un raggio di 176 anni luce dal pianeta Arrakis, Arrakis incluso?","Cosmic Serenade, Fusione Celeste, Universo in Fusilli - Variazione Celestiale, Sinfonia Cosmica di Andromeda",90,"13,51,275,209",Public
Hard,"Quali piatti sono stati creati utilizzando almeno una tecnica di surgelamento secondo il Manuale di Cucina di Sirius Cosmo e sono stati serviti in un ristorante situato entro un raggio di 317 anni luce dal pianeta Krypton, Krypton incluso?","Sinfonia Galattica Agentica, Sinfonia Astrale - Risotto Multiversale con Risacca Celeste, Il Viaggio Cosmico di Marinetti, Fenice sull'Orizzonte degli Eventi, Risotto Cosmico alla Draconia",91,"231,197,102,50,182",Private
Hard,"Quali piatti speciali sono stati creati utilizzando le tecniche di impasto del Manuale di Cucina di Sirius Cosmo e sono serviti nei ristoranti vicini al pianeta Krypton, entro un raggio di 21 anni luce, Krypton incluso?","Sinfonia Celeste di Granuli Arcobaleno e Riso di Cassandra, Galassia di Sapore, Sinfonia Galattica Agentica, Il Viaggio Cosmico di Marinetti, Nebulosa di Dragone all'Essenza di Vuoto, Piastrella Celestiale di Gnocchi del Crepuscolo con Nebulosa di Riso di Cassandra, Lacrime di Unicorno e Velo di Materia Oscura",92,"199,68,231,102,134,148",Public
